2026-03-18 16:17:27,155 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2 "HTTP/1.1 200 OK"
2026-03-18 16:17:27,287 | INFO | vectordb | Initialized new FAISS index with dimension 384
2026-03-18 16:17:27,291 | INFO | vectordb | Indexed 1 new chunks. Total chunks: 1
2026-03-18 16:17:27,291 | INFO | rag | Ingested 1 chunks from 34489226e19f409fae2575eed084af0b_sample.pdf
2026-03-18 16:17:27,302 | ERROR | main | Upload processing failed: no such table: uploads
Traceback (most recent call last):
  File "D:\project\rag-ai-platform\rag-agent-chat\backend\main.py", line 118, in upload_pdf
    save_upload_record(file_name=safe_name, stored_path=str(destination))
  File "D:\project\rag-ai-platform\rag-agent-chat\backend\main.py", line 42, in save_upload_record
    connection.execute(
sqlite3.OperationalError: no such table: uploads
2026-03-18 16:17:27,304 | INFO | main | Completed request: POST /upload -> 500
2026-03-18 16:17:27,306 | INFO | httpx | HTTP Request: POST http://testserver/upload "HTTP/1.1 500 Internal Server Error"
2026-03-18 16:17:27,311 | INFO | main | Incoming request: POST /chat
2026-03-18 16:17:27,313 | INFO | graph | Query classified as knowledge_lookup
2026-03-18 16:17:27,333 | INFO | vectordb | Retrieved 1 chunks for query
2026-03-18 16:17:27,333 | INFO | graph | Context length after retrieval: 109
2026-03-18 16:17:28,211 | ERROR | llm | Mistral API request failed: 401 Client Error: Unauthorized for url: https://api.mistral.ai/v1/chat/completions
2026-03-18 16:17:28,214 | INFO | main | Completed request: POST /chat -> 200
2026-03-18 16:17:28,219 | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2026-03-18 16:19:42,059 | INFO | main | Application startup complete
2026-03-18 16:19:42,061 | INFO | main | Incoming request: GET /health
2026-03-18 16:19:42,061 | INFO | main | Completed request: GET /health -> 200
2026-03-18 16:19:42,064 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-03-18 16:19:42,066 | INFO | main | Incoming request: POST /upload
2026-03-18 16:19:42,068 | INFO | rag | Extracting text from 7912a25dbd7d4bbfb7ed8b1d5e1885b4_sample.pdf
2026-03-18 16:19:42,071 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-18 16:19:42,071 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-18 16:19:42,074 | INFO | embeddings | Loading embedding model: sentence-transformers/all-MiniLM-L6-v2
2026-03-18 16:19:42,077 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-18 16:19:42,077 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2026-03-18 16:19:43,090 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:43,182 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-18 16:19:43,501 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:43,583 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-18 16:19:43,911 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:43,984 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-03-18 16:19:44,234 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:44,324 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md "HTTP/1.1 200 OK"
2026-03-18 16:19:44,565 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:44,567 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-03-18 16:19:44,650 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json "HTTP/1.1 200 OK"
2026-03-18 16:19:44,898 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:44,941 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-03-18 16:19:45,231 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-03-18 16:19:45,475 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:45,524 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-18 16:19:46,164 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:46,206 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json "HTTP/1.1 200 OK"
2026-03-18 16:19:46,450 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-03-18 16:19:46,546 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json "HTTP/1.1 200 OK"
2026-03-18 16:19:46,797 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-03-18 16:19:47,036 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
